id,asset_id,inspector_id,date_time,score,notes,checklist_json,status
INSP-1001,ASSET-210,USER-INS-01,2026-08-01T09:15:00Z,72,Blockage and small cracks,"{""drainage"":""partial_blocked"",""structural_cracks"":""hairline""}",Completed
INSP-1002,ASSET-202,USER-INS-01,2026-08-28T14:45:00Z,55,Partial blockage; schedule clean,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1003,ASSET-203,USER-CTR-01,2026-07-08T21:00:00Z,52,Vegetation cleared; reinspect in 30 days,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""intact""}",Follow-up
INSP-1004,ASSET-204,USER-CTR-01,2026-06-13T09:15:00Z,65,Vegetation cleared; reinspect in 30 days,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1005,ASSET-205,USER-CTR-01,2026-07-12T18:45:00Z,74,Partial blockage; schedule clean,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""damaged""}",Completed
INSP-1006,ASSET-206,USER-INS-01,2026-08-19T23:00:00Z,91,Vegetation cleared; reinspect in 30 days,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""none"",""safety_barrier"":""damaged""}",Completed
INSP-1007,ASSET-207,USER-INS-01,2026-07-13T17:15:00Z,60,Joint sealant failed; fair condition,"{""drainage"":""partial_blocked"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1008,ASSET-208,USER-INS-01,2026-06-14T03:45:00Z,83,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""intact""}",Follow-up
INSP-1009,ASSET-209,USER-CTR-01,2026-06-29T16:45:00Z,79,Scour at outlet; monitor after rain,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""none"",""safety_barrier"":""intact""}",Completed
INSP-1010,ASSET-210,USER-INS-01,2026-07-16T13:45:00Z,66,Scour at outlet; monitor after rain,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1011,ASSET-211,USER-INS-01,2026-07-03T16:30:00Z,61,Routine inspection; no immediate action,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""severe"",""safety_barrier"":""intact""}",Completed
INSP-1012,ASSET-212,USER-INS-01,2026-06-09T20:45:00Z,80,Joint sealant failed; fair condition,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""intact""}",Draft
INSP-1013,ASSET-213,USER-INS-01,2026-06-12T21:15:00Z,73,Routine inspection; no immediate action,"{""drainage"":""blocked"",""structural_cracks"":""none"",""scour"":""severe"",""safety_barrier"":""missing""}",Completed
INSP-1014,ASSET-214,USER-INS-01,2026-08-11T20:30:00Z,64,Partial blockage; schedule clean,"{""drainage"":""blocked"",""structural_cracks"":""wide"",""scour"":""minor"",""safety_barrier"":""intact""}",Completed
INSP-1015,ASSET-215,USER-INS-01,2026-07-22T11:45:00Z,68,Routine inspection; no immediate action,"{""drainage"":""clear"",""structural_cracks"":""hairline"",""scour"":""severe"",""safety_barrier"":""missing""}",Follow-up
INSP-1016,ASSET-216,USER-CTR-01,2026-07-07T16:30:00Z,56,Barrier damage; contractor to quote,"{""drainage"":""clear"",""structural_cracks"":""none"",""scour"":""minor"",""safety_barrier"":""damaged""}",Completed
