id,action,entity_type,entity_id,timestamp,actor_id,prev_hash,current_hash,signature,notes
LGR-5001,create,organization,ORG-001,2026-05-01T08:00:00Z,USER-ADMIN-01,NULL,sha256:2a34c96fe63589f1da62635cef7dc5ceaf82a1fef06d54588520dd6fdf704d25,sig:1A0ovhjOo0pESZiZnNDmOfhfqxmGNXw2NEGtLhEcJ7Wo6Q10FxUI9AD40HLDLadTIAm8Nh0DzpLbwYz3B+Y2Dg==,Seed organisation
LGR-5002,create,organization,ORG-002,2026-05-01T08:00:00Z,USER-ADMIN-01,sha256:2a34c96fe63589f1da62635cef7dc5ceaf82a1fef06d54588520dd6fdf704d25,sha256:735d192ff32a55f624e0d87cfe04c6cf94043c0a55e76d525b81e9c07daac7e7,sig:i4wb7NrPUILp0KBR8nlc6Qu1cqmlD8L7z9CDlp1sW9U0kNxQ2acNmm5aW0UXmYBkZelrhsqwkGC6QalCCPQnCg==,Seed organisation
LGR-5003,create,organization,ORG-003,2026-05-01T08:00:00Z,USER-ADMIN-01,sha256:735d192ff32a55f624e0d87cfe04c6cf94043c0a55e76d525b81e9c07daac7e7,sha256:b92516f6bac2c1bfe1cffade1d180411fc78b4daf93346a923ba2cbc2352b3d9,sig:aeB1LnH/pNVsxhhvo3KfGdqwYBEFxIbdZz3Sb1Hi9nGvjoAi23PMQKq9Kz/RVFoJnfqjR73fGuUBD5XmfRQKDQ==,Seed organisation
LGR-5004,create,organization,ORG-004,2026-05-01T08:00:00Z,USER-ADMIN-01,sha256:b92516f6bac2c1bfe1cffade1d180411fc78b4daf93346a923ba2cbc2352b3d9,sha256:2149227414c8ae918aa00dcc59dabf1a497cc82f234d574eccad563f73f4b86e,sig:bzCmQPRj33M2z9O4S0Vj/HML7iCEUupMuWPbvzdj64uX3TpTl5qjc9j24upuib1OVy6vkq/9HqFhhHsm37oLCQ==,Seed organisation
LGR-5005,create,organization,ORG-005,2026-05-01T08:00:00Z,USER-ADMIN-01,sha256:2149227414c8ae918aa00dcc59dabf1a497cc82f234d574eccad563f73f4b86e,sha256:d1d795d244c4fafb820dd1d2caae34ff3300cf7ad2aa9a1771c2253fd3355fd9,sig:KKc7R7BPaj0oKOyq3TBDrEAV1460nkK87fmpPK8imTYCTRoii/vyIjOFNkc6YvVWcqtOGz6TTyk3Tte4U3yZAw==,Seed organisation
LGR-5006,create,site,SITE-001,2026-05-02T08:00:00Z,USER-MGR-01,sha256:d1d795d244c4fafb820dd1d2caae34ff3300cf7ad2aa9a1771c2253fd3355fd9,sha256:6b65ed982c8b9509c5b3c497efbd3d2391f7dec036f56e571968ec45312a601c,sig:uoWqUnc2jFElCl59ehFckSSBsL549FU521YaXxQiABINsonCzYXeVc7P+JXRSsEmn8ol1AP+ufmphW4x0pRKCA==,Seed site
LGR-5007,create,site,SITE-002,2026-05-02T08:00:00Z,USER-MGR-01,sha256:6b65ed982c8b9509c5b3c497efbd3d2391f7dec036f56e571968ec45312a601c,sha256:88e8ce24e6801aca35a01dffac6ef3ebbec291b90b2bebf5e8b3821b80b9f321,sig:7EDbUcXT/tdlkET6KNtABz/6jrPqDaCRm5WeEe1iXV+3d5znpqEbHtJMX8Asnuy5U33e6pCqEKBiL/QBzIF1CQ==,Seed site
LGR-5008,create,site,SITE-003,2026-05-02T08:00:00Z,USER-MGR-01,sha256:88e8ce24e6801aca35a01dffac6ef3ebbec291b90b2bebf5e8b3821b80b9f321,sha256:f540c6fc71dcb678a6083bef6f376caedae5651e5d2890f706c0b1ae3c9e0cdf,sig:qjhrKPQ+YLSqstbzFlCZOqW4W2YLO6PrQ19ZF7MjIgfT2guTDZPlKGDVFhPaczpMyR25t0nruMTKkHY0Ky+NBA==,Seed site
LGR-5009,create,site,SITE-004,2026-05-02T08:00:00Z,USER-MGR-01,sha256:f540c6fc71dcb678a6083bef6f376caedae5651e5d2890f706c0b1ae3c9e0cdf,sha256:4e8158488e82c9013f4cd28d9fb458b0d15b3a273bb30ab1abcfe190488817ec,sig:MSKmFrywxKV4i0pWboozjgpNeEjlmixH3whI/PHgtYIpxi9rBtCrIFDm5nAqIhOVmNR7VyuC1Z43g0nqqvP2Ag==,Seed site
LGR-5010,create,site,SITE-005,2026-05-02T08:00:00Z,USER-MGR-01,sha256:4e8158488e82c9013f4cd28d9fb458b0d15b3a273bb30ab1abcfe190488817ec,sha256:ed19bb5bd28c39f0d5bdefaf089cef33338905992b1217a8a1e978d1579cb715,sig:mIXWvQ4aQohL0n6cggs8JY84yYRKTuGGrJ6GwBK6sdPCjzlPtroLVyHsaM7DBM72+3cpIUbH2bFo7ZlikuE8BQ==,Seed site
LGR-5011,create,site,SITE-006,2026-05-02T08:00:00Z,USER-MGR-01,sha256:ed19bb5bd28c39f0d5bdefaf089cef33338905992b1217a8a1e978d1579cb715,sha256:e6cc2ff1f2cbc8333c5ded74cf24aa354a0e3cf6a3b31cc7ac83054f0af267ad,sig:AcTYCtcf6jSDKYvWrlGJtatVqRTb36p/TG0IbvQzVAb/jKZG+Wpz17GGNueSZiLAF9Ddg3iMlCNnNZKwQe2iCQ==,Seed site
LGR-5012,create,site,SITE-007,2026-05-02T08:00:00Z,USER-MGR-01,sha256:e6cc2ff1f2cbc8333c5ded74cf24aa354a0e3cf6a3b31cc7ac83054f0af267ad,sha256:dbad311a87e5561ef4b0f53c785b632a35a89ba411c7efd4cd4c0b92f701e7b2,sig:QMgMEcGAN9/pCOIRm7hUMEnvZZQwGklie3WitdDXdCQr3jEyaBs8dmqyQz9UcOqAEn1ZN2b4Q4MUyIHwQKk4CQ==,Seed site
LGR-5013,create,site,SITE-008,2026-05-02T08:00:00Z,USER-MGR-01,sha256:dbad311a87e5561ef4b0f53c785b632a35a89ba411c7efd4cd4c0b92f701e7b2,sha256:05af36f8d81419309b6a7c53b4a718265c5caf67121e62d36f59f54288130d52,sig:HoU/BE/SR9PJDcO1xq8zjG44HoXHg+5kDR3YCUS0iJTtvU3J2eCcOhidI1M7NFk999OFH8pE1LXMMOJf2cEIDg==,Seed site
LGR-5014,create,site,SITE-009,2026-05-02T08:00:00Z,USER-MGR-01,sha256:05af36f8d81419309b6a7c53b4a718265c5caf67121e62d36f59f54288130d52,sha256:7c1974d0c99c6ba265ce75f3cefc7fbe4c34b8909085eb308dd2788f5f457774,sig:G5FEpc9sxHpTNXoD8f4cmCx5GGfoJiRm/0qU7W7fgh9QuidrZPW1HsEt5FIc/aEYnIEPaQrc6LDTHz+eIbNECw==,Seed site
