asset_id,site_id,org_id,name,asset_type,status,installed_at
ASSET-0001,SITE-0001,ORG-0001,culvert 001,culvert,in_service,2024-02-15
ASSET-0002,SITE-0002,ORG-0002,guard_rail 002,guard_rail,in_service,2024-03-15
ASSET-0003,SITE-0003,ORG-0003,borehole 003,borehole,in_service,2024-04-15
ASSET-0004,SITE-0004,ORG-0004,access_road 004,access_road,in_service,2024-05-15
ASSET-0005,SITE-0005,ORG-0005,fence 005,fence,in_service,2024-06-15
ASSET-0006,SITE-0006,ORG-0001,transformer 006,transformer,in_service,2024-07-15
ASSET-0007,SITE-0007,ORG-0002,culvert 007,culvert,in_service,2024-08-15
ASSET-0008,SITE-0008,ORG-0003,guard_rail 008,guard_rail,in_service,2024-09-15
ASSET-0009,SITE-0009,ORG-0004,borehole 009,borehole,in_service,2024-10-15
ASSET-0010,SITE-0010,ORG-0005,access_road 010,access_road,in_service,2024-11-15
ASSET-0011,SITE-0011,ORG-0001,fence 011,fence,in_service,2024-12-15
ASSET-0012,SITE-0012,ORG-0002,transformer 012,transformer,in_service,2024-01-15
ASSET-0013,SITE-0013,ORG-0003,culvert 013,culvert,in_service,2024-02-15
ASSET-0014,SITE-0014,ORG-0004,guard_rail 014,guard_rail,in_service,2024-03-15
ASSET-0015,SITE-0015,ORG-0005,borehole 015,borehole,in_service,2024-04-15
ASSET-0016,SITE-0016,ORG-0001,access_road 016,access_road,in_service,2024-05-15
ASSET-0017,SITE-0017,ORG-0002,fence 017,fence,in_service,2024-06-15
ASSET-0018,SITE-0018,ORG-0003,transformer 018,transformer,in_service,2024-07-15
ASSET-0019,SITE-0019,ORG-0004,culvert 019,culvert,in_service,2024-08-15
ASSET-0020,SITE-0020,ORG-0005,guard_rail 020,guard_rail,in_service,2024-09-15
ASSET-0021,SITE-0001,ORG-0001,borehole 021,borehole,in_service,2024-10-15
ASSET-0022,SITE-0002,ORG-0002,access_road 022,access_road,in_service,2024-11-15
ASSET-0023,SITE-0003,ORG-0003,fence 023,fence,in_service,2024-12-15
ASSET-0024,SITE-0004,ORG-0004,transformer 024,transformer,in_service,2024-01-15
ASSET-0025,SITE-0005,ORG-0005,culvert 025,culvert,in_service,2024-02-15
ASSET-0026,SITE-0006,ORG-0001,guard_rail 026,guard_rail,in_service,2024-03-15
ASSET-0027,SITE-0007,ORG-0002,borehole 027,borehole,in_service,2024-04-15
ASSET-0028,SITE-0008,ORG-0003,access_road 028,access_road,in_service,2024-05-15
ASSET-0029,SITE-0009,ORG-0004,fence 029,fence,in_service,2024-06-15
ASSET-0030,SITE-0010,ORG-0005,transformer 030,transformer,in_service,2024-07-15
ASSET-0031,SITE-0011,ORG-0001,culvert 031,culvert,in_service,2024-08-15
ASSET-0032,SITE-0012,ORG-0002,guard_rail 032,guard_rail,in_service,2024-09-15
ASSET-0033,SITE-0013,ORG-0003,borehole 033,borehole,in_service,2024-10-15
ASSET-0034,SITE-0014,ORG-0004,access_road 034,access_road,in_service,2024-11-15
ASSET-0035,SITE-0015,ORG-0005,fence 035,fence,in_service,2024-12-15
ASSET-0036,SITE-0016,ORG-0001,transformer 036,transformer,in_service,2024-01-15
ASSET-0037,SITE-0017,ORG-0002,culvert 037,culvert,in_service,2024-02-15
ASSET-0038,SITE-0018,ORG-0003,guard_rail 038,guard_rail,in_service,2024-03-15
ASSET-0039,SITE-0019,ORG-0004,borehole 039,borehole,in_service,2024-04-15
ASSET-0040,SITE-0020,ORG-0005,access_road 040,access_road,in_service,2024-05-15
ASSET-0041,SITE-0001,ORG-0001,fence 041,fence,in_service,2024-06-15
ASSET-0042,SITE-0002,ORG-0002,transformer 042,transformer,in_service,2024-07-15
ASSET-0043,SITE-0003,ORG-0003,culvert 043,culvert,in_service,2024-08-15
ASSET-0044,SITE-0004,ORG-0004,guard_rail 044,guard_rail,in_service,2024-09-15
ASSET-0045,SITE-0005,ORG-0005,borehole 045,borehole,in_service,2024-10-15
ASSET-0046,SITE-0006,ORG-0001,access_road 046,access_road,in_service,2024-11-15
ASSET-0047,SITE-0007,ORG-0002,fence 047,fence,in_service,2024-12-15
ASSET-0048,SITE-0008,ORG-0003,transformer 048,transformer,in_service,2024-01-15
ASSET-0049,SITE-0009,ORG-0004,culvert 049,culvert,in_service,2024-02-15
ASSET-0050,SITE-0010,ORG-0005,guard_rail 050,guard_rail,in_service,2024-03-15
