evidence_id,org_id,parent_type,parent_id,filename,checksum,gps_lat,gps_lon,timestamp,uploader_id,classification,has_local_image
EVID-0001,ORG-0001,inspection,INSP-0001,field_01.jpg,25286972feba3b8d9f76d5e8b7c1ad990dea88f48e0af37863a1d242e9300632,-33.4000,25.4400,2026-06-01T11:00:00Z,USER-0001,photo,Y
EVID-0002,ORG-0002,inspection,INSP-0002,field_02.jpg,6768e9da3a072c380ba5c13f02c0b4684333e7dc976e71c9ae3bb074851e6596,-33.3877,25.4400,2026-06-01T14:00:00Z,USER-0002,photo,Y
EVID-0003,ORG-0003,inspection,INSP-0003,field_03.jpg,f726b58765fafbdb6fc82c45c9057f18eeac38c93829055047801ea23d5a0590,-33.3754,25.4511,2026-06-01T17:00:00Z,USER-0003,photo,Y
EVID-0004,ORG-0004,inspection,INSP-0004,field_04.jpg,55fa2e29784c185b8a514f39e5ed1e05f66b3225db97682624ebb449ebf4cca0,-33.3631,25.4511,2026-06-01T20:00:00Z,USER-0004,photo,Y
EVID-0005,ORG-0005,inspection,INSP-0005,field_05.jpg,a486b40478838371f0b92934ab460f265da3004a595eb55662d3f3fd36e9a01a,-33.3508,25.4622,2026-06-01T23:00:00Z,USER-0005,photo,Y
EVID-0006,ORG-0001,inspection,INSP-0006,field_06.jpg,00bf77e7ea1ffa148a471314f2c0bd7d7771717582819de78ee7d4c074b6bcd5,-33.3385,25.4622,2026-06-02T02:00:00Z,USER-0006,photo,Y
EVID-0007,ORG-0002,inspection,INSP-0007,field_07.jpg,bbffeebe0d2ab66e0d0b817b388f73cc5c420e49401d6d07f099e0cb7e1b255e,-33.3262,25.4733,2026-06-02T05:00:00Z,USER-0007,photo,Y
EVID-0008,ORG-0003,inspection,INSP-0008,field_08.jpg,49c881b4460c3178a55d4d72cd309c6778eaa287e865bebf0f8c04994e7d52ec,-33.3139,25.4733,2026-06-02T08:00:00Z,USER-0008,photo,Y
EVID-0009,ORG-0004,inspection,INSP-0009,field_09.jpg,2c8dfbf4bda9f5a412c6919291720887226188c3eeb6af16ea09a94c8cadd198,-33.3016,25.4844,2026-06-02T11:00:00Z,USER-0009,photo,Y
EVID-0010,ORG-0005,inspection,INSP-0010,field_10.jpg,b6a249d9346a8b310e2d396843f084b2b29f8dc088105541b0486e959b7ef620,-33.2893,25.4844,2026-06-02T14:00:00Z,USER-0010,photo,Y
EVID-0011,ORG-0001,inspection,INSP-0011,field_11.jpg,87149505c6d7df2b1dd64232dd41781f16dad3c2262e79506aaed003ef31f15c,-33.4000,25.4955,2026-06-02T17:00:00Z,USER-0011,photo,Y
EVID-0012,ORG-0002,inspection,INSP-0012,field_12.jpg,0be750e489b52066a93dd3c1687c705faff8a3c6f0794efd6087433de6560d75,-33.3877,25.4955,2026-06-02T20:00:00Z,USER-0012,photo,Y
EVID-0013,ORG-0003,inspection,INSP-0013,field_13.jpg,62a82b0ed1af06b0f382f56f8a15fac24fb11061b7286218ac5d80233759ca57,-33.3754,25.5066,2026-06-02T23:00:00Z,USER-0013,photo,Y
EVID-0014,ORG-0004,inspection,INSP-0014,field_14.jpg,bca0883f68f960dc568aadafa8ab1dcb8e7e32fd8eaddf128f95f004de2380b2,-33.3631,25.5066,2026-06-03T02:00:00Z,USER-0014,photo,Y
EVID-0015,ORG-0005,inspection,INSP-0015,field_15.jpg,7314d4615506514537522b3f854fa059aa5dd6f0ae4fc80d889e6068513ef505,-33.3508,25.5177,2026-06-03T05:00:00Z,USER-0015,photo,Y
EVID-0016,ORG-0001,inspection,INSP-0016,field_16.jpg,bc6732a545465a2b8030fedd35816af32e72bfd06db2554594d04387fac8327f,-33.3385,25.5177,2026-06-03T08:00:00Z,USER-0016,photo,Y
EVID-0017,ORG-0002,inspection,INSP-0017,field_17.jpg,71a4db520892577e49a0fecc36c796e235aa74f8923fcd546827dc50c959a76f,-33.3262,25.5288,2026-06-03T11:00:00Z,USER-0017,photo,Y
EVID-0018,ORG-0003,inspection,INSP-0018,field_18.jpg,bc1da733204f10f236b50360707242a5465256c8c2f48def268c2ed6cc6c470d,-33.3139,25.5288,2026-06-03T14:00:00Z,USER-0018,photo,Y
EVID-0019,ORG-0004,inspection,INSP-0019,field_19.jpg,e77f331ad3b53af49f2381ef568dd2a733673722a80b161c4b27a6fec7a26865,-33.3016,25.5399,2026-06-03T17:00:00Z,USER-0019,photo,Y
EVID-0020,ORG-0005,inspection,INSP-0020,field_20.jpg,738d5686798cc1fbd768cf9638aa49979edc4ba857478db219096ea6a4572ae0,-33.2893,25.5399,2026-06-03T20:00:00Z,USER-0020,photo,Y
EVID-0021,ORG-0001,inspection,INSP-0021,field_21.jpg,d643bb013c087af6fab708db7fca3259125048c6e53622d24dbe9ebe1bd35274,-33.4000,25.4400,2026-06-03T23:00:00Z,USER-0001,photo,Y
EVID-0022,ORG-0002,inspection,INSP-0022,field_22.jpg,56c07284de35c36c917cfc012db4812dc313688d366591575a5c5c878eae8feb,-33.3877,25.4400,2026-06-04T02:00:00Z,USER-0002,photo,Y
EVID-0023,ORG-0003,inspection,INSP-0023,field_23.jpg,0ddbcc3277c99f5aaad80da2a65044f0a0c3f0db14aba6f689ec31c6bf8c9cb8,-33.3754,25.4511,2026-06-04T05:00:00Z,USER-0003,photo,Y
EVID-0024,ORG-0004,inspection,INSP-0024,field_24.jpg,c87888dbb90b12195e0eb3d6a6bad21e0cf5a1544b7b657beadfdfd2f46c7e04,-33.3631,25.4511,2026-06-04T08:00:00Z,USER-0004,photo,Y
