inspection_id,site_id,asset_id,org_id,inspector_id,date_time,score,status,notes
INSP-0001,SITE-0001,ASSET-0001,ORG-0001,USER-0001,2026-06-01T11:00:00Z,61,Completed,Guard rail and culvert walkabout
INSP-0002,SITE-0002,ASSET-0002,ORG-0002,USER-0002,2026-06-01T14:00:00Z,62,Completed,Dust and livestock access check
INSP-0003,SITE-0003,ASSET-0003,ORG-0003,USER-0003,2026-06-01T17:00:00Z,63,Completed,Guard rail and culvert walkabout
INSP-0004,SITE-0004,ASSET-0004,ORG-0004,USER-0004,2026-06-01T20:00:00Z,64,Completed,Dust and livestock access check
INSP-0005,SITE-0005,ASSET-0005,ORG-0005,USER-0005,2026-06-01T23:00:00Z,65,Completed,Guard rail and culvert walkabout
INSP-0006,SITE-0006,ASSET-0006,ORG-0001,USER-0006,2026-06-02T02:00:00Z,66,Completed,Dust and livestock access check
INSP-0007,SITE-0007,ASSET-0007,ORG-0002,USER-0007,2026-06-02T05:00:00Z,67,Open,Guard rail and culvert walkabout
INSP-0008,SITE-0008,ASSET-0008,ORG-0003,USER-0008,2026-06-02T08:00:00Z,68,Completed,Dust and livestock access check
INSP-0009,SITE-0009,ASSET-0009,ORG-0004,USER-0009,2026-06-02T11:00:00Z,69,Completed,Guard rail and culvert walkabout
INSP-0010,SITE-0010,ASSET-0010,ORG-0005,USER-0010,2026-06-02T14:00:00Z,70,Completed,Dust and livestock access check
INSP-0011,SITE-0011,ASSET-0011,ORG-0001,USER-0011,2026-06-02T17:00:00Z,71,Completed,Guard rail and culvert walkabout
INSP-0012,SITE-0012,ASSET-0012,ORG-0002,USER-0012,2026-06-02T20:00:00Z,72,Completed,Dust and livestock access check
INSP-0013,SITE-0013,ASSET-0013,ORG-0003,USER-0013,2026-06-02T23:00:00Z,73,Completed,Guard rail and culvert walkabout
INSP-0014,SITE-0014,ASSET-0014,ORG-0004,USER-0014,2026-06-03T02:00:00Z,74,Open,Dust and livestock access check
INSP-0015,SITE-0015,ASSET-0015,ORG-0005,USER-0015,2026-06-03T05:00:00Z,75,Completed,Guard rail and culvert walkabout
INSP-0016,SITE-0016,ASSET-0016,ORG-0001,USER-0016,2026-06-03T08:00:00Z,76,Completed,Dust and livestock access check
INSP-0017,SITE-0017,ASSET-0017,ORG-0002,USER-0017,2026-06-03T11:00:00Z,77,Completed,Guard rail and culvert walkabout
INSP-0018,SITE-0018,ASSET-0018,ORG-0003,USER-0018,2026-06-03T14:00:00Z,78,Completed,Dust and livestock access check
INSP-0019,SITE-0019,ASSET-0019,ORG-0004,USER-0019,2026-06-03T17:00:00Z,79,Completed,Guard rail and culvert walkabout
INSP-0020,SITE-0020,ASSET-0020,ORG-0005,USER-0020,2026-06-03T20:00:00Z,80,Completed,Dust and livestock access check
INSP-0021,SITE-0001,ASSET-0021,ORG-0001,USER-0001,2026-06-03T23:00:00Z,81,Open,Guard rail and culvert walkabout
INSP-0022,SITE-0002,ASSET-0022,ORG-0002,USER-0002,2026-06-04T02:00:00Z,82,Completed,Dust and livestock access check
INSP-0023,SITE-0003,ASSET-0023,ORG-0003,USER-0003,2026-06-04T05:00:00Z,83,Completed,Guard rail and culvert walkabout
INSP-0024,SITE-0004,ASSET-0024,ORG-0004,USER-0004,2026-06-04T08:00:00Z,84,Completed,Dust and livestock access check
INSP-0025,SITE-0005,ASSET-0025,ORG-0005,USER-0005,2026-06-04T11:00:00Z,85,Completed,Guard rail and culvert walkabout
INSP-0026,SITE-0006,ASSET-0026,ORG-0001,USER-0006,2026-06-04T14:00:00Z,86,Completed,Dust and livestock access check
INSP-0027,SITE-0007,ASSET-0027,ORG-0002,USER-0007,2026-06-04T17:00:00Z,87,Completed,Guard rail and culvert walkabout
INSP-0028,SITE-0008,ASSET-0028,ORG-0003,USER-0008,2026-06-04T20:00:00Z,88,Open,Dust and livestock access check
INSP-0029,SITE-0009,ASSET-0029,ORG-0004,USER-0009,2026-06-04T23:00:00Z,89,Completed,Guard rail and culvert walkabout
INSP-0030,SITE-0010,ASSET-0030,ORG-0005,USER-0010,2026-06-05T02:00:00Z,90,Completed,Dust and livestock access check
INSP-0031,SITE-0011,ASSET-0031,ORG-0001,USER-0011,2026-06-05T05:00:00Z,91,Completed,Guard rail and culvert walkabout
INSP-0032,SITE-0012,ASSET-0032,ORG-0002,USER-0012,2026-06-05T08:00:00Z,92,Completed,Dust and livestock access check
INSP-0033,SITE-0013,ASSET-0033,ORG-0003,USER-0013,2026-06-05T11:00:00Z,93,Completed,Guard rail and culvert walkabout
INSP-0034,SITE-0014,ASSET-0034,ORG-0004,USER-0014,2026-06-05T14:00:00Z,94,Completed,Dust and livestock access check
INSP-0035,SITE-0015,ASSET-0035,ORG-0005,USER-0015,2026-06-05T17:00:00Z,95,Open,Guard rail and culvert walkabout
INSP-0036,SITE-0016,ASSET-0036,ORG-0001,USER-0016,2026-06-05T20:00:00Z,96,Completed,Dust and livestock access check
INSP-0037,SITE-0017,ASSET-0037,ORG-0002,USER-0017,2026-06-05T23:00:00Z,97,Completed,Guard rail and culvert walkabout
INSP-0038,SITE-0018,ASSET-0038,ORG-0003,USER-0018,2026-06-06T02:00:00Z,98,Completed,Dust and livestock access check
INSP-0039,SITE-0019,ASSET-0039,ORG-0004,USER-0019,2026-06-06T05:00:00Z,99,Completed,Guard rail and culvert walkabout
INSP-0040,SITE-0020,ASSET-0040,ORG-0005,USER-0020,2026-06-06T08:00:00Z,60,Completed,Dust and livestock access check
INSP-0041,SITE-0001,ASSET-0041,ORG-0001,USER-0001,2026-06-06T11:00:00Z,61,Completed,Guard rail and culvert walkabout
INSP-0042,SITE-0002,ASSET-0042,ORG-0002,USER-0002,2026-06-06T14:00:00Z,62,Open,Dust and livestock access check
INSP-0043,SITE-0003,ASSET-0043,ORG-0003,USER-0003,2026-06-06T17:00:00Z,63,Completed,Guard rail and culvert walkabout
INSP-0044,SITE-0004,ASSET-0044,ORG-0004,USER-0004,2026-06-06T20:00:00Z,64,Completed,Dust and livestock access check
INSP-0045,SITE-0005,ASSET-0045,ORG-0005,USER-0005,2026-06-06T23:00:00Z,65,Completed,Guard rail and culvert walkabout
