ledger_id,entity_type,entity_id,action,timestamp,actor_id,prev_hash,current_hash,signature,kid,canonical_entity_json
LGR-0001,evidence,EVID-0001,create,2026-06-01T11:00:00Z,USER-0001,,1e4951b1b4073941cc79c456b871b0376ab4c3c4b9b6dc3d120a082324871e75,6L9DaNtxIG11+UUfrg97DwRhQSODWW/Y5J1p1Ph/oUKBkc1ZW9HQmANrygnimVR2satjZ8B/5gMbGzjeBzWADA==,demo-test-2026-09,"{""filename"":""field_01.jpg"",""gps_lat"":-33.4,""gps_lon"":25.44,""id"":""EVID-0001"",""parent_id"":""INSP-0001"",""parent_type"":""inspection"",""timestamp"":""2026-06-01T11:00:00Z"",""uploader_id"":""USER-0001""}"
LGR-0002,evidence,EVID-0002,create,2026-06-01T14:00:00Z,USER-0002,,457bbfa2896cbb9286aaa5e8a9c08ef00980691fc1efdac504dac08bbef73124,XbTINnMvr4vG4JBMWEzxJ4RDtSHa7uMqyCcNZ0iFOuo9aAV7dYGR7kWNWhabme1DlF/qWV7n+o7iZrQL2zhKBw==,demo-test-2026-09,"{""filename"":""field_02.jpg"",""gps_lat"":-33.3877,""gps_lon"":25.44,""id"":""EVID-0002"",""parent_id"":""INSP-0002"",""parent_type"":""inspection"",""timestamp"":""2026-06-01T14:00:00Z"",""uploader_id"":""USER-0002""}"
LGR-0003,evidence,EVID-0003,create,2026-06-01T17:00:00Z,USER-0003,,93f1db1b365353ef949f89f560afed31eb2ea2c629e7a520efd9bacc8f19792d,M2bK47mcNlfIJUzAgocBeBCmMEmAvYL2iltVKGRhGmS9NNSYC/iCb6qYtmICcAzvIs/RbQ3EyCsPgI9W8AIqAQ==,demo-test-2026-09,"{""filename"":""field_03.jpg"",""gps_lat"":-33.3754,""gps_lon"":25.4511,""id"":""EVID-0003"",""parent_id"":""INSP-0003"",""parent_type"":""inspection"",""timestamp"":""2026-06-01T17:00:00Z"",""uploader_id"":""USER-0003""}"
LGR-0004,evidence,EVID-0004,create,2026-06-01T20:00:00Z,USER-0004,,4879be151948df6bdce329a3dd8d528a6d9df1b90ac13fbc0dbc8c3bf571bb33,2rrENBKQ6QqFHdglUHorHE/EgMyF1fr5oft72X9Umaz/TuJgSYdMVhRAbQlPmgNKMibEMEOkoriYHEUDGXkHCw==,demo-test-2026-09,"{""filename"":""field_04.jpg"",""gps_lat"":-33.3631,""gps_lon"":25.4511,""id"":""EVID-0004"",""parent_id"":""INSP-0004"",""parent_type"":""inspection"",""timestamp"":""2026-06-01T20:00:00Z"",""uploader_id"":""USER-0004""}"
LGR-0005,evidence,EVID-0005,create,2026-06-01T23:00:00Z,USER-0005,,01215555f75933ce5fc2da330ed8a1fbd366331970c8ab637f6396ae18a21f45,sDUs+RM/lmhJv+rIsTqRj4PzpdX0Ay5ujn9Sqx6KAYHVU9lauMzMHwvRJ/gX80cH0nIyFEHN10qrcJPClHe3Cg==,demo-test-2026-09,"{""filename"":""field_05.jpg"",""gps_lat"":-33.3508,""gps_lon"":25.4622,""id"":""EVID-0005"",""parent_id"":""INSP-0005"",""parent_type"":""inspection"",""timestamp"":""2026-06-01T23:00:00Z"",""uploader_id"":""USER-0005""}"
LGR-0006,evidence,EVID-0006,create,2026-06-02T02:00:00Z,USER-0006,,b21c252285c9d98ebd43b601edbd4e4105e829b06c02ed501a82f7b0e69afe18,7IAaMQNm/L6ZDVw5PhwDDHrkiTQk97mt9fbZ2v3E4CntqGBOC0KnNJsOtlyUal2ZJq1W/mtNlr5X1EByYZiOAA==,demo-test-2026-09,"{""filename"":""field_06.jpg"",""gps_lat"":-33.3385,""gps_lon"":25.4622,""id"":""EVID-0006"",""parent_id"":""INSP-0006"",""parent_type"":""inspection"",""timestamp"":""2026-06-02T02:00:00Z"",""uploader_id"":""USER-0006""}"
LGR-0007,evidence,EVID-0007,create,2026-06-02T05:00:00Z,USER-0007,,2fcca15c0117b0b3fbabb3d9fa9eb11e5ef8e08679dc47d25f9d0859b3fd4922,9QnYgmvzGCCNYc1Zdkz4sc0sUbRsGkN97P68vyERAKl2sOaP7UgFOUuiRvqXV/eVqHBqdEgFlOiXfGhDsNJrDg==,demo-test-2026-09,"{""filename"":""field_07.jpg"",""gps_lat"":-33.3262,""gps_lon"":25.4733,""id"":""EVID-0007"",""parent_id"":""INSP-0007"",""parent_type"":""inspection"",""timestamp"":""2026-06-02T05:00:00Z"",""uploader_id"":""USER-0007""}"
LGR-0008,evidence,EVID-0008,create,2026-06-02T08:00:00Z,USER-0008,,f6978aeb72956c34fbfcf37ea3148e7eda07264e9fa1672bc198849c7e5cdfcf,Qnvh/vzCBCvkIX2dLeh5RhTGi4TlNuRVUE6MbwXwQq0H953SJGVTLS/c4gCEgHMK7gaJBBSFo5t2CfmigKzCCg==,demo-test-2026-09,"{""filename"":""field_08.jpg"",""gps_lat"":-33.3139,""gps_lon"":25.4733,""id"":""EVID-0008"",""parent_id"":""INSP-0008"",""parent_type"":""inspection"",""timestamp"":""2026-06-02T08:00:00Z"",""uploader_id"":""USER-0008""}"
LGR-0009,evidence,EVID-0009,create,2026-06-02T11:00:00Z,USER-0009,,24c608470b3228cc5a4136e109f2c5064cb18e70fa921b81e5107f1bed46ea0d,WmX3PxOvC+fFeacjSjAUhKfZrnkqaGeKXErn1nLnvEtK8J1d1eY6f0gsrvXqceL+nG8LiFKPGpSrVLGSZHb6Dg==,demo-test-2026-09,"{""filename"":""field_09.jpg"",""gps_lat"":-33.3016,""gps_lon"":25.4844,""id"":""EVID-0009"",""parent_id"":""INSP-0009"",""parent_type"":""inspection"",""timestamp"":""2026-06-02T11:00:00Z"",""uploader_id"":""USER-0009""}"
LGR-0010,evidence,EVID-0010,create,2026-06-02T14:00:00Z,USER-0010,,b6c7ba4b6cfc75997fe3504fbfde1f22a825e9c7ac79906459388b33825536ad,GerShWQGRFNkgRB8WYAsXl3LwoIOCvxEMLYi5oiPjOvXb9QuyP7Go23cb5l0RVeRLFVn8LTBRPiVubeR/X2NDQ==,demo-test-2026-09,"{""filename"":""field_10.jpg"",""gps_lat"":-33.2893,""gps_lon"":25.4844,""id"":""EVID-0010"",""parent_id"":""INSP-0010"",""parent_type"":""inspection"",""timestamp"":""2026-06-02T14:00:00Z"",""uploader_id"":""USER-0010""}"
